Day,Date,Pom Total,$$ Pom,$ Pom,$$ Collected,R Pom,& Pom,Non-work income,Month,RR Pom,Flip,W Pom,WW Pom,H Pom,HH Pom
,1/22/2014,6,1,,,,,,1,,,,,,,
,1/24/2014,1,,,,,,,1,,,,,,,
,1/25/2014,3,,,,,,,1,,,,,,,
,1/26/2014,13,4,,,,,,1,,,,,,,
,1/27/2014,14,10,,,,,,1,,,,,,,
,1/28/2014,9,2,1,,,,,1,,,,,,,
,1/29/2014,3,,1,,,,,1,,,,,,,
,1/30/2014,2,2,,,,,,1,,,,,,,
,1/31/2014,8,,,,,,,1,,,,,,,
,2/1/2014,3,,,,,,,2,,,,,,,
,2/3/2014,3,3,,,,,,2,,,,,,,
,2/4/2014,3,,,,,,,2,,,,,,,
,2/5/2014,2,,,,,,,2,,,,,,,
,2/6/2014,7,2,,,,,,2,,,,,,,
,2/7/2014,2,1,,,,,,2,,,,,,,
,2/8/2014,8,,4,,4,,,2,,,,,,,
,2/9/2014,9,,2,,1,,,2,,,,,,,
,2/10/2014,11,3,,,,,,2,,,,,,,
,2/11/2014,17,,9,,7,,,2,,,,,,,
,2/12/2014,3,2,1,,,,,2,,,,,,,
,2/13/2014,5,,3,,1,,,2,,,,,,,
,2/14/2014,9,,1,,1,3,,2,,,,,,,
,2/15/2014,12,,3,,3,6,,2,,,,,,,
,2/16/2014,1,,,,,,,2,,,,,,,
,2/17/2014,6,,1,,1,,,2,,,,,,,
,2/19/2014,4,,,,,2,,2,,,,,,,
,2/20/2014,3,,,,,,,2,,,,,,,
,2/22/2014,10,,,,,3,,2,,,,,,,
,2/24/2014,4,,1,,1,2,,2,1,,,,,,
,2/25/2014,1,,,,,,,2,,,,,,,
,2/27/2014,2,,,,,,,2,,,,,,,
,2/28/2014,1,,,,,,,2,,,,,,,
,3/1/2014,8,,,,,,,3,,,,,,,
,3/2/2014,8,,4,,4,1,,3,3,,,,,,
,3/3/2014,7,,1,,1,,,3,1,,,,,,
,3/4/2014,9,,4,,4,2,,3,2,,,,,,
,3/5/2014,10,,4,,4,1,,3,2,,,,,,
,3/6/2014,10,,3,,8,,,3,6,,,,,,
,3/7/2014,6,,,,,,,3,,,,,,,
,3/8/2014,8,,2,,2,3,,3,,,,,,,
,3/9/2014,8,,1,,4,,,3,3,,,,,,
,3/10/2014,11,,2,,2,,,3,,,,,,,
,3/11/2014,12,6,1,,1,4,,3,1,,,,6,,
,3/12/2014,14,,2,,8,1,,3,6,,,,,,
,3/13/2014,12,,4,,5,2,,3,3,,,,,,
,3/14/2014,12,,7,,7,2,,3,3,,,,,,
,3/15/2014,15,,5,,5,3,,3,,,,,,,
,3/16/2014,11,,3,,3,1,,3,2,,,,,,
,3/17/2014,11,1,4,,4,4,,3,3,,,,1,,
,3/18/2014,22,1,1,,17,4,,3,16,,,,1,,
,3/19/2014,9,1,,,2,2,,3,2,,,,1,,
,3/20/2014,14,,4,,5,4,,3,1,,4,4,,,
,3/21/2014,6,,4,,4,1,,3,3,,,,,,
,3/22/2014,10,,1,,5,2,,3,4,,,,1,,
,3/23/2014,16,,8,,9,3,,3,5,,5,5,,,
,3/24/2014,19,,1,,11,3,,3,10,,,,,,
,3/25/2014,12,,7,,5,2,,3,1,,7,5,,,
,3/26/2014,17,,8,,8,2,,3,7,,,,,,
,3/27/2014,12,,3,,4,6,,3,2,,1,1,1,,
,3/28/2014,10,1,3,,5,1,,3,5,,,,1,,
,3/29/2014,6,1,2,,2,1,,3,2,,,,2,,
,3/30/2014,12,8,1,,1,3,,3,1,,,,8,5,
,3/31/2014,10,,1,,6,3,,3,3,,,,,,
,4/1/2014,15,,1,,3,5,,4,2,,,,4,,
,4/2/2014,22,,1,,6,8,,4,3,,,,1,,
,4/3/2014,22,,8,,12,10,,4,10,,1,,,,
,4/4/2014,29,,9,,13,8,,4,3,,4,4,5,,
,4/5/2014,13,,2,,11,2,,4,7,,1,1,,,
,4/6/2014,12,,3,,5,3,,4,4,,4,4,,,
,4/7/2014,24,,4,,6,9,,4,6,,7,7,2,,
,4/8/2014,9,,2,,2,3,,4,1,,2,2,2,,
,4/9/2014,21,,6,,6,10,,4,6,,1,1,1,,
,4/10/2014,11,,7,,4,2,,4,4,,,,2,,
,4/11/2014,14,,12,,12,1,,4,12,,,,,,
,4/12/2014,25,,17,,14,8,,4,10,,3,3,,,
,4/13/2014,13,,2,,2,2,,4,,,4,4,,,
,4/14/2014,15,,8,,8,1,,4,5,,8,7,,,
,4/15/2014,13,,,,,6,,4,,,1,,2,,
,4/16/2014,15,,10,,8,4,,4,4,,3,3,,,
,4/17/2014,11,,6,,,3,,4,,,4,3,,,
,4/18/2014,15,,11,,7,2,,4,6,,7,6,,,
,4/19/2014,5,,5,,5,,,4,3,,,,,,
,4/20/2014,14,,10,,5,,,4,5,,3,2,,,
,4/21/2014,12,,11,,8,,,4,8,,3,3,,,
,4/22/2014,19,,17,,17,,,4,17,,,,,,
,4/23/2014 ,14,,5,,5,5,,4,5,,2,2,4,,
,4/24/2014,6,,5,,4,1,,4,2,,1,1,,,
,4/25/2014,9,,7,,1,1,,4,1,,6,5,,,
,4/26/2014,6,,,,1,5,,4,1,,,,,,
,4/27/2014,6,,1,,4,3,,4,4,,,,,,
,4/28/2014,13,,,,6,12,,4,4,,,,1,,
,4/29/2014,14,,,,2,11,,4,2,,2,,2,,
,4/30/2014,9,,,,2,8,,4,2,,,,1,,
,5/1/2014,10,,,,5,5,,5,2,,,,,,
,5/2/2014,6,,,,1,4,,5,1,,2,2,1,,
,5/3/2014,8,,,,,1,,5,,,,,,,
,5/4/2014,9,,1,,1,7,,5,,,5,2,1,,
,5/5/2014,13,,3,,3,2,,5,3,,,,,,
,5/6/2014,5,,,,1,2,,5,1,,1,,,,
,5/7/2014,10,,,,,8,,5,,,2,,,,
,5/8/2014,11,,,,,9,,5,,,1,,,,
,5/9/2014,11,2,,,2,9,,5,2,,1,,1,,
,5/10/2014,19,,1,,9,9,,5,5,,,,,,
,5/11/2014,22,,,,20,4,,5,18,,,,,,
,5/12/2014,7,,2,,,5,,5,,,2,,,,
,5/13/2014,15,4,,,4,8,,5,4,,1,,,,
,5/14/2014,19,1,,,12,16,,5,12,,4,4,,,
,5/15/2014,19,,,,14,5,,5,14,,,,,,
,5/16/2014,9,1,,,3,5,,5,2,,,,1,1,
,5/17/2014,8,,,,1,1,,5,,,,,,,
,5/18/2014,18,,,,1,7,,5,1,,,,,,
,5/19/2014,7,,,,1,6,,5,1,,,,,,
,5/20/2014,20,4,,,,12,,5,,,1,,4,4,
,5/21/2014,17,,,,4,16,,5,4,,2,1,,,
,5/22/2014,6,,,,1,5,,5,,,1,,,,
,5/23/2014,5,,,,3,5,,5,,,,,,,
,5/24/2014,9,,,,4,8,,5,2,,,,1,,
,5/25/2014,8,,,,4,7,,5,2,,2,,,,
,5/26/2014,16,,,,,2,,5,,,1,,,,
,5/27/2014,8,,,,,6,,5,,,6,,,,
,5/28/2014,1,,,,,,,5,,,,,,,
,5/29/2014,9,,,,,,,5,,,,,,,
,5/30/2014,7,,,,,5,,5,,,,,1,1,
,5/31/2014,0,,,,,,,5,,,,,,,
,6/1/2014,2,,,,1,2,,6,1,,,,,,
,6/2/2014,5,,,,,5,,6,,,,,2,,
,6/3/2014,2,,,,,2,,6,,,,,2,2,
,6/4/2014,5,,,,,5,,6,,,,,3,3,
,6/5/2014,11,,,,,4,,6,,,,,7,7,
